,名前,charid,Unnamed: 0,初出作品,初出番号,初出年,CD(秘封),書籍のみ,整数boss,整数自機,非整数自機,非整数boss,整数自機回数,非整数自機回数,oldcharid
0,森近霖之助,56,89,香霖堂,-1.0,2010,0,1,0,,,,,,89.0
1,サニーミルク,86,90,妖精大戦争,12.8,2010,0,1,0,,,,,,90.0
2,ルナチャイルド,84,91,妖精大戦争,12.8,2010,0,1,0,,,,,,91.0
3,スターサファイア,83,92,妖精大戦争,12.8,2010,0,1,0,,,,,,92.0
4,稗田阿求,98,93,幺樂団の歴史,-1.0,2006,0,1,0,,,,,,93.0
5,レイセン,102,94,儚月抄,-1.0,2007,0,1,0,,,,,,94.0
6,綿月依姫,105,95,儚月抄,-1.0,2007,0,1,0,,,,,,95.0
7,綿月豊姫,101,96,儚月抄,-1.0,2007,0,1,0,,,,,,96.0
8,茨木華扇,153,97,茨歌仙,-1.0,2010,0,1,0,,,,,,97.0
9,本居小鈴,172,98,鈴奈庵,-1.0,2012,0,1,0,,,,,,98.0
10,宮出口瑞霊,269,124,智霊奇伝,-1.0,2022,0,1,0,,,,,,
