,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,musicid,Track Name,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,order,Number,Notes,作品,年,番号,人気投票
10,16.0,10.0,18.0,10.0,リーインカネーション,0.023598820058997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
39,69.0,39.0,64.0,39.0,Maple Dream ... ,0.0029498525073746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
48,82.0,48.0,73.0,48.0,ヴアル魔法図書館,0.0029498525073746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
93,154.0,93.0,163.0,98.0,ハーセルヴス,0.0,0.0011379153390987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
120,205.0,120.0,196.0,128.0,魔法決戦,0.0,0.0002275830678197,0.0001158077591198,5.33447135388883e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
217,356.0,219.0,342.0,277.0,華の幻想 紅夢の宙,0.0,0.0,0.0,5.33447135388883e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
219,358.0,221.0,344.0,280.0,My Maid， Sweet Maid,0.0,0.0,0.0,5.33447135388883e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
271,429.0,273.0,405.0,349.0,My Maid，Sweet Maid,0.0,0.0,0.0,0.0,3.76095377787807e-05,3.115458907097015e-05,2.0866698314492443e-05,3.005108684764099e-05,4.9266599484940095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
297,468.0,299.0,432.0,378.0,東方緋想天,0.0,0.0,0.0,0.0,0.0,0.0057869649199327,0.0048619407072767,0.004572773715316,0.0040309035942223,0.0036303732943772,0.0033246230281412,0.0029860675097916,0.0029064254495256,0.0028104069199959,0.0028608124707416,0.0021176733732336,0.0017389005566244,,,,,,,
360,543.0,358.0,494.0,438.0,巨大な影と小さな結末,0.0,0.0,0.0,0.0,0.0,0.0,0.0005842675528057,0.0004607833316638,0.0002866420333669,0.0001989245640754,0.0001802132108712,0.0001569647502018,0.0001455417903404,0.0001570686502193,8.002272645431302e-05,6.132955254679985e-05,6.75586364904757e-05,,,,,,,
438,649.0,438.0,580.0,521.0,サーカスレヴァリエ（機械サーカス,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002921704534858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
459,671.0,460.0,602.0,545.0,My Maid Sweet Maid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.729835576415006e-05,3.417836757902194e-05,1.868627978592998e-05,5.292428739652199e-05,5.048635185621487e-05,4.401249954987216e-05,3.2468586642423456e-05,5.287197638385055e-05,,,,,,,
513,732.0,515.0,659.0,604.0,スリープシープ・パレード,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00071006752257,0.0004263291934524,0.0002040579524584,0.0001515200709979,0.0001733025892581,,,,,,,
518,737.0,520.0,664.0,609.0,憑依華,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003307767962282,0.0002860893271852,0.0001800511345222,0.0002200648650208,0.0001468666010662,,,,,,,
519,738.0,521.0,665.0,610.0,ネオ竹林インフレイム,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002866732233978,0.0,0.0,0.0,0.0,,,,,,,
523,742.0,525.0,669.0,614.0,光輝く天球儀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001146692893591,0.0002187741913769,5.601590851801912e-05,7.576003549898806e-05,4.993464436252552e-05,,,,,,,
526,745.0,528.0,672.0,617.0,落日に生える逆さ城,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0565716528696e-05,3.9267162554833786e-05,4.401249954987216e-05,3.607620738047051e-05,4.699731234120049e-05,,,,,,,
541,760.0,543.0,687.0,632.0,使われなかった場所,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4103572830435e-06,1.6828783952071623e-05,1.2003408968146954e-05,1.0822862214141153e-05,8.811996063975091e-06,,,,,,,
